zone,date,day_of_week,is_weekend,hour,base_load_kw,ev_load_kw,total_load_kw,ev_count_on_day,transformer_utilization_pct
Koramangala,2025-01-02,Thursday,False,20,351.3,2673.4,3024.7,800,100.0
Koramangala,2025-01-02,Thursday,False,21,343.8,2035.6,2379.4,800,100.0
Koramangala,2025-01-02,Thursday,False,22,235.4,1613.8,1849.3,800,100.0
Koramangala,2025-01-02,Thursday,False,23,246.0,686.1,932.1,800,100.0
HSR Layout,2025-01-02,Thursday,False,0,93.8,467.6,561.4,550,86.4
HSR Layout,2025-01-02,Thursday,False,1,104.6,461.8,566.4,550,87.1
HSR Layout,2025-01-02,Thursday,False,2,93.9,481.0,574.9,550,88.4
HSR Layout,2025-01-02,Thursday,False,3,103.1,115.8,218.9,550,33.7
HSR Layout,2025-01-02,Thursday,False,4,96.9,120.2,217.1,550,33.4
HSR Layout,2025-01-02,Thursday,False,5,146.2,110.4,256.6,550,39.5
HSR Layout,2025-01-02,Thursday,False,6,175.6,391.8,567.3,550,87.3
HSR Layout,2025-01-02,Thursday,False,7,207.5,425.2,632.8,550,97.3
HSR Layout,2025-01-02,Thursday,False,8,252.7,392.8,645.5,550,99.3
HSR Layout,2025-01-02,Thursday,False,9,256.6,376.1,632.8,550,97.3
HSR Layout,2025-01-02,Thursday,False,10,268.2,117.1,385.3,550,59.3
HSR Layout,2025-01-02,Thursday,False,11,262.5,113.9,376.3,550,57.9
HSR Layout,2025-01-02,Thursday,False,12,264.2,127.9,392.1,550,60.3
HSR Layout,2025-01-02,Thursday,False,13,258.7,121.2,379.9,550,58.4
HSR Layout,2025-01-02,Thursday,False,14,236.8,116.4,353.2,550,54.3
HSR Layout,2025-01-02,Thursday,False,15,232.8,118.9,351.6,550,54.1
HSR Layout,2025-01-02,Thursday,False,16,231.7,114.2,345.9,550,53.2
HSR Layout,2025-01-02,Thursday,False,17,265.7,121.8,387.4,550,59.6
HSR Layout,2025-01-02,Thursday,False,18,283.8,1203.5,1487.3,550,100.0
HSR Layout,2025-01-02,Thursday,False,19,295.6,1409.0,1704.6,550,100.0
HSR Layout,2025-01-02,Thursday,False,20,261.5,1798.3,2059.8,550,100.0
HSR Layout,2025-01-02,Thursday,False,21,272.9,1406.0,1678.8,550,100.0
HSR Layout,2025-01-02,Thursday,False,22,165.8,1114.0,1279.8,550,100.0
HSR Layout,2025-01-02,Thursday,False,23,154.7,462.7,617.4,550,95.0
Whitefield,2025-01-02,Thursday,False,0,176.6,609.3,786.0,700,71.5
Whitefield,2025-01-02,Thursday,False,1,194.5,661.5,856.0,700,77.8
Whitefield,2025-01-02,Thursday,False,2,204.3,587.4,791.7,700,72.0
Whitefield,2025-01-02,Thursday,False,3,174.4,154.9,329.3,700,29.9
Whitefield,2025-01-02,Thursday,False,4,167.6,165.0,332.6,700,30.2
Whitefield,2025-01-02,Thursday,False,5,316.0,147.7,463.7,700,42.2
Whitefield,2025-01-02,Thursday,False,6,312.3,538.1,850.5,700,77.3
Whitefield,2025-01-02,Thursday,False,7,381.4,535.2,916.6,700,83.3
Whitefield,2025-01-02,Thursday,False,8,433.0,488.9,921.9,700,83.8
Whitefield,2025-01-02,Thursday,False,9,480.5,505.2,985.7,700,89.6
Whitefield,2025-01-02,Thursday,False,10,494.7,155.9,650.6,700,59.1
Whitefield,2025-01-02,Thursday,False,11,468.5,150.1,618.7,700,56.2
Whitefield,2025-01-02,Thursday,False,12,487.8,155.1,642.9,700,58.4
Whitefield,2025-01-02,Thursday,False,13,497.4,142.7,640.1,700,58.2
Whitefield,2025-01-02,Thursday,False,14,407.0,160.9,567.9,700,51.6
Whitefield,2025-01-02,Thursday,False,15,437.2,145.5,582.8,700,53.0
Whitefield,2025-01-02,Thursday,False,16,457.0,152.1,609.0,700,55.4
Whitefield,2025-01-02,Thursday,False,17,515.7,151.7,667.4,700,60.7
Whitefield,2025-01-02,Thursday,False,18,540.8,1589.9,2130.7,700,100.0
Whitefield,2025-01-02,Thursday,False,19,514.2,1955.4,2469.6,700,100.0
Whitefield,2025-01-02,Thursday,False,20,485.5,2423.2,2908.7,700,100.0
Whitefield,2025-01-02,Thursday,False,21,459.4,1928.8,2388.2,700,100.0
Whitefield,2025-01-02,Thursday,False,22,341.0,1333.1,1674.1,700,100.0
Whitefield,2025-01-02,Thursday,False,23,304.7,543.1,847.9,700,77.1
Electronic City,2025-01-02,Thursday,False,0,197.3,402.7,600.1,450,50.0
Electronic City,2025-01-02,Thursday,False,1,228.0,390.2,618.2,450,51.5
Electronic City,2025-01-02,Thursday,False,2,230.2,362.0,592.1,450,49.3
Electronic City,2025-01-02,Thursday,False,3,172.5,96.9,269.4,450,22.5
Electronic City,2025-01-02,Thursday,False,4,208.6,97.0,305.7,450,25.5
Electronic City,2025-01-02,Thursday,False,5,281.6,96.8,378.4,450,31.5
Electronic City,2025-01-02,Thursday,False,6,341.0,334.8,675.8,450,56.3
Electronic City,2025-01-02,Thursday,False,7,416.0,308.8,724.8,450,60.4
Electronic City,2025-01-02,Thursday,False,8,481.6,306.8,788.4,450,65.7
Electronic City,2025-01-02,Thursday,False,9,512.5,339.5,852.0,450,71.0
Electronic City,2025-01-02,Thursday,False,10,519.6,99.6,619.2,450,51.6
Electronic City,2025-01-02,Thursday,False,11,510.2,93.3,603.5,450,50.3
Electronic City,2025-01-02,Thursday,False,12,517.5,92.2,609.7,450,50.8
Electronic City,2025-01-02,Thursday,False,13,509.8,91.4,601.1,450,50.1
Electronic City,2025-01-02,Thursday,False,14,495.6,97.4,593.0,450,49.4
Electronic City,2025-01-02,Thursday,False,15,449.5,98.2,547.8,450,45.6
Electronic City,2025-01-02,Thursday,False,16,459.7,96.1,555.8,450,46.3
Electronic City,2025-01-02,Thursday,False,17,541.5,100.9,642.4,450,53.5
Electronic City,2025-01-02,Thursday,False,18,533.2,912.5,1445.8,450,100.0
Electronic City,2025-01-02,Thursday,False,19,549.2,1060.8,1610.0,450,100.0
Electronic City,2025-01-02,Thursday,False,20,481.6,1557.6,2039.2,450,100.0
Electronic City,2025-01-02,Thursday,False,21,536.3,1183.9,1720.1,450,100.0
Electronic City,2025-01-02,Thursday,False,22,356.2,954.2,1310.4,450,100.0
Electronic City,2025-01-02,Thursday,False,23,399.5,410.6,810.1,450,67.5
Hebbal,2025-01-02,Thursday,False,0,90.2,312.6,402.8,380,67.1
Hebbal,2025-01-02,Thursday,False,1,78.7,331.7,410.3,380,68.4
Hebbal,2025-01-02,Thursday,False,2,85.3,305.0,390.3,380,65.0
Hebbal,2025-01-02,Thursday,False,3,86.2,77.6,163.8,380,27.3
Hebbal,2025-01-02,Thursday,False,4,104.4,85.7,190.1,380,31.7
Hebbal,2025-01-02,Thursday,False,5,143.3,88.2,231.4,380,38.6
Hebbal,2025-01-02,Thursday,False,6,164.8,261.8,426.6,380,71.1
Hebbal,2025-01-02,Thursday,False,7,196.9,281.0,477.9,380,79.7
Hebbal,2025-01-02,Thursday,False,8,213.4,271.0,484.4,380,80.7
Hebbal,2025-01-02,Thursday,False,9,225.1,254.7,479.8,380,80.0
Hebbal,2025-01-02,Thursday,False,10,249.6,89.9,339.5,380,56.6
Hebbal,2025-01-02,Thursday,False,11,223.6,84.4,308.0,380,51.3
Hebbal,2025-01-02,Thursday,False,12,229.5,80.1,309.5,380,51.6
Hebbal,2025-01-02,Thursday,False,13,229.9,78.5,308.4,380,51.4
Hebbal,2025-01-02,Thursday,False,14,208.9,78.7,287.5,380,47.9
Hebbal,2025-01-02,Thursday,False,15,210.6,81.9,292.5,380,48.7
Hebbal,2025-01-02,Thursday,False,16,206.6,78.4,285.0,380,47.5
Hebbal,2025-01-02,Thursday,False,17,235.2,85.2,320.4,380,53.4
Hebbal,2025-01-02,Thursday,False,18,248.9,754.7,1003.5,380,100.0
Hebbal,2025-01-02,Thursday,False,19,251.0,1050.4,1301.3,380,100.0
Hebbal,2025-01-02,Thursday,False,20,216.3,1264.6,1480.9,380,100.0
Hebbal,2025-01-02,Thursday,False,21,224.1,1041.2,1265.3,380,100.0
Hebbal,2025-01-02,Thursday,False,22,150.4,721.8,872.2,380,100.0
Hebbal,2025-01-02,Thursday,False,23,143.6,329.1,472.7,380,78.8
Indiranagar,2025-01-02,Thursday,False,0,119.9,511.5,631.3,620,84.2
Indiranagar,2025-01-02,Thursday,False,1,123.7,491.2,614.9,620,82.0
Indiranagar,2025-01-02,Thursday,False,2,116.6,503.2,619.9,620,82.6
Indiranagar,2025-01-02,Thursday,False,3,110.7,134.2,245.0,620,32.7
Indiranagar,2025-01-02,Thursday,False,4,108.6,131.3,240.0,620,32.0
Indiranagar,2025-01-02,Thursday,False,5,194.4,130.1,324.5,620,43.3
Indiranagar,2025-01-02,Thursday,False,6,219.5,421.2,640.7,620,85.4
Indiranagar,2025-01-02,Thursday,False,7,243.2,478.6,721.8,620,96.2
Indiranagar,2025-01-02,Thursday,False,8,260.0,428.6,688.6,620,91.8
Indiranagar,2025-01-02,Thursday,False,9,304.0,441.9,745.9,620,99.4
Indiranagar,2025-01-02,Thursday,False,10,315.3,129.9,445.2,620,59.4
Indiranagar,2025-01-02,Thursday,False,11,302.4,132.9,435.3,620,58.0
Indiranagar,2025-01-02,Thursday,False,12,313.3,135.6,448.9,620,59.9
Indiranagar,2025-01-02,Thursday,False,13,304.9,131.2,436.1,620,58.1
Indiranagar,2025-01-02,Thursday,False,14,263.1,131.0,394.2,620,52.6
Indiranagar,2025-01-02,Thursday,False,15,272.0,131.1,403.1,620,53.7
Indiranagar,2025-01-02,Thursday,False,16,271.0,147.8,418.8,620,55.8
Indiranagar,2025-01-02,Thursday,False,17,317.0,131.7,448.7,620,59.8
Indiranagar,2025-01-02,Thursday,False,18,327.0,1268.1,1595.2,620,100.0
Indiranagar,2025-01-02,Thursday,False,19,301.2,1568.4,1869.6,620,100.0
Indiranagar,2025-01-02,Thursday,False,20,276.0,1973.5,2249.5,620,100.0
Indiranagar,2025-01-02,Thursday,False,21,295.0,1790.1,2085.2,620,100.0
Indiranagar,2025-01-02,Thursday,False,22,204.3,1280.4,1484.7,620,100.0
Indiranagar,2025-01-02,Thursday,False,23,209.4,476.5,685.8,620,91.4
Koramangala,2025-01-03,Friday,False,0,139.6,718.7,858.3,801,95.4
Koramangala,2025-01-03,Friday,False,1,119.5,731.6,851.1,801,94.6
Koramangala,2025-01-03,Friday,False,2,140.8,677.7,818.5,801,90.9
Koramangala,2025-01-03,Friday,False,3,144.2,192.7,336.9,801,37.4
Koramangala,2025-01-03,Friday,False,4,138.9,175.2,314.1,801,34.9
Koramangala,2025-01-03,Friday,False,5,209.6,165.7,375.3,801,41.7
Koramangala,2025-01-03,Friday,False,6,256.0,552.0,808.0,801,89.8
Koramangala,2025-01-03,Friday,False,7,278.4,562.9,841.3,801,93.5
Koramangala,2025-01-03,Friday,False,8,337.9,586.3,924.2,801,100.0
Koramangala,2025-01-03,Friday,False,9,360.1,562.0,922.1,801,100.0
Koramangala,2025-01-03,Friday,False,10,360.4,164.5,524.9,801,58.3
Koramangala,2025-01-03,Friday,False,11,346.6,176.3,522.9,801,58.1
Koramangala,2025-01-03,Friday,False,12,360.7,165.0,525.7,801,58.4
Koramangala,2025-01-03,Friday,False,13,362.0,184.7,546.8,801,60.8
Koramangala,2025-01-03,Friday,False,14,317.6,189.3,506.8,801,56.3
Koramangala,2025-01-03,Friday,False,15,303.6,162.2,465.9,801,51.8
Koramangala,2025-01-03,Friday,False,16,291.9,186.0,477.8,801,53.1
Koramangala,2025-01-03,Friday,False,17,367.3,172.5,539.8,801,60.0
Koramangala,2025-01-03,Friday,False,18,370.7,1578.4,1949.1,801,100.0
Koramangala,2025-01-03,Friday,False,19,403.9,2147.7,2551.6,801,100.0
Koramangala,2025-01-03,Friday,False,20,345.3,2689.4,3034.7,801,100.0
Koramangala,2025-01-03,Friday,False,21,349.6,2157.8,2507.4,801,100.0
Koramangala,2025-01-03,Friday,False,22,225.3,1711.9,1937.2,801,100.0
Koramangala,2025-01-03,Friday,False,23,256.6,738.6,995.2,801,100.0
HSR Layout,2025-01-03,Friday,False,0,114.8,463.1,577.8,550,88.9
HSR Layout,2025-01-03,Friday,False,1,92.4,472.2,564.6,550,86.9
HSR Layout,2025-01-03,Friday,False,2,101.5,501.2,602.7,550,92.7
HSR Layout,2025-01-03,Friday,False,3,86.3,127.9,214.2,550,33.0
HSR Layout,2025-01-03,Friday,False,4,99.6,116.3,215.9,550,33.2
HSR Layout,2025-01-03,Friday,False,5,149.9,109.0,258.9,550,39.8
HSR Layout,2025-01-03,Friday,False,6,188.9,397.5,586.3,550,90.2
HSR Layout,2025-01-03,Friday,False,7,193.7,370.4,564.0,550,86.8
HSR Layout,2025-01-03,Friday,False,8,242.3,429.0,671.4,550,100.0
HSR Layout,2025-01-03,Friday,False,9,254.5,366.2,620.8,550,95.5
HSR Layout,2025-01-03,Friday,False,10,266.2,117.2,383.4,550,59.0
HSR Layout,2025-01-03,Friday,False,11,236.3,118.5,354.8,550,54.6
HSR Layout,2025-01-03,Friday,False,12,257.7,122.9,380.6,550,58.6
HSR Layout,2025-01-03,Friday,False,13,275.7,125.5,401.2,550,61.7
HSR Layout,2025-01-03,Friday,False,14,228.5,112.2,340.7,550,52.4
HSR Layout,2025-01-03,Friday,False,15,253.1,119.2,372.2,550,57.3
HSR Layout,2025-01-03,Friday,False,16,230.9,118.7,349.6,550,53.8
HSR Layout,2025-01-03,Friday,False,17,267.2,117.9,385.1,550,59.2
HSR Layout,2025-01-03,Friday,False,18,266.2,1117.0,1383.2,550,100.0
HSR Layout,2025-01-03,Friday,False,19,276.7,1425.4,1702.1,550,100.0
HSR Layout,2025-01-03,Friday,False,20,247.7,1791.5,2039.2,550,100.0
HSR Layout,2025-01-03,Friday,False,21,251.7,1575.4,1827.1,550,100.0
HSR Layout,2025-01-03,Friday,False,22,150.2,1211.1,1361.2,550,100.0
HSR Layout,2025-01-03,Friday,False,23,183.9,425.9,609.8,550,93.8
Whitefield,2025-01-03,Friday,False,0,183.4,594.4,777.8,701,70.7
Whitefield,2025-01-03,Friday,False,1,166.1,582.1,748.3,701,68.0
