zone,year,month,month_name,ev_count,monthly_growth_rate_pct,annual_growth_rate_pct
HSR Layout,2024,8,Aug,854,2.21,30.0
HSR Layout,2024,9,Sep,872,2.21,30.0
HSR Layout,2024,10,Oct,909,2.21,30.0
HSR Layout,2024,11,Nov,947,2.21,30.0
HSR Layout,2024,12,Dec,967,2.21,30.0
HSR Layout,2025,1,Jan,988,2.21,30.0
HSR Layout,2025,2,Feb,1009,2.21,30.0
HSR Layout,2025,3,Mar,1031,2.21,30.0
HSR Layout,2025,4,Apr,1053,2.21,30.0
HSR Layout,2025,5,May,1076,2.21,30.0
HSR Layout,2025,6,Jun,1099,2.21,30.0
HSR Layout,2025,7,Jul,1123,2.21,30.0
HSR Layout,2025,8,Aug,1147,2.21,30.0
HSR Layout,2025,9,Sep,1172,2.21,30.0
HSR Layout,2025,10,Oct,1221,2.21,30.0
HSR Layout,2025,11,Nov,1272,2.21,30.0
HSR Layout,2025,12,Dec,1300,2.21,30.0
HSR Layout,2026,1,Jan,1328,2.21,30.0
HSR Layout,2026,2,Feb,1357,2.21,30.0
HSR Layout,2026,3,Mar,1386,2.21,30.0
HSR Layout,2026,4,Apr,1416,2.21,30.0
HSR Layout,2026,5,May,1447,2.21,30.0
HSR Layout,2026,6,Jun,1478,2.21,30.0
HSR Layout,2026,7,Jul,1510,2.21,30.0
HSR Layout,2026,8,Aug,1543,2.21,30.0
HSR Layout,2026,9,Sep,1577,2.21,30.0
HSR Layout,2026,10,Oct,1644,2.21,30.0
HSR Layout,2026,11,Nov,1713,2.21,30.0
HSR Layout,2026,12,Dec,1750,2.21,30.0
Whitefield,2023,1,Jan,700,2.6,36.0
Whitefield,2023,2,Feb,718,2.6,36.0
Whitefield,2023,3,Mar,736,2.6,36.0
Whitefield,2023,4,Apr,755,2.6,36.0
Whitefield,2023,5,May,774,2.6,36.0
Whitefield,2023,6,Jun,794,2.6,36.0
Whitefield,2023,7,Jul,814,2.6,36.0
Whitefield,2023,8,Aug,835,2.6,36.0
Whitefield,2023,9,Sep,856,2.6,36.0
Whitefield,2023,10,Oct,895,2.6,36.0
Whitefield,2023,11,Nov,936,2.6,36.0
Whitefield,2023,12,Dec,960,2.6,36.0
Whitefield,2024,1,Jan,984,2.6,36.0
Whitefield,2024,2,Feb,1009,2.6,36.0
Whitefield,2024,3,Mar,1035,2.6,36.0
Whitefield,2024,4,Apr,1061,2.6,36.0
Whitefield,2024,5,May,1088,2.6,36.0
Whitefield,2024,6,Jun,1116,2.6,36.0
Whitefield,2024,7,Jul,1144,2.6,36.0
Whitefield,2024,8,Aug,1173,2.6,36.0
Whitefield,2024,9,Sep,1203,2.6,36.0
Whitefield,2024,10,Oct,1258,2.6,36.0
Whitefield,2024,11,Nov,1316,2.6,36.0
Whitefield,2024,12,Dec,1350,2.6,36.0
Whitefield,2025,1,Jan,1385,2.6,36.0
Whitefield,2025,2,Feb,1420,2.6,36.0
Whitefield,2025,3,Mar,1456,2.6,36.0
Whitefield,2025,4,Apr,1493,2.6,36.0
Whitefield,2025,5,May,1531,2.6,36.0
Whitefield,2025,6,Jun,1570,2.6,36.0
Whitefield,2025,7,Jul,1610,2.6,36.0
Whitefield,2025,8,Aug,1651,2.6,36.0
Whitefield,2025,9,Sep,1693,2.6,36.0
Whitefield,2025,10,Oct,1771,2.6,36.0
Whitefield,2025,11,Nov,1853,2.6,36.0
Whitefield,2025,12,Dec,1901,2.6,36.0
Whitefield,2026,1,Jan,1950,2.6,36.0
Whitefield,2026,2,Feb,2000,2.6,36.0
Whitefield,2026,3,Mar,2051,2.6,36.0
Whitefield,2026,4,Apr,2104,2.6,36.0
Whitefield,2026,5,May,2158,2.6,36.0
Whitefield,2026,6,Jun,2214,2.6,36.0
Whitefield,2026,7,Jul,2271,2.6,36.0
Whitefield,2026,8,Aug,2329,2.6,36.0
Whitefield,2026,9,Sep,2389,2.6,36.0
Whitefield,2026,10,Oct,2500,2.6,36.0
Whitefield,2026,11,Nov,2616,2.6,36.0
Whitefield,2026,12,Dec,2683,2.6,36.0
Electronic City,2023,1,Jan,450,2.08,28.0
Electronic City,2023,2,Feb,459,2.08,28.0
Electronic City,2023,3,Mar,468,2.08,28.0
Electronic City,2023,4,Apr,477,2.08,28.0
Electronic City,2023,5,May,486,2.08,28.0
Electronic City,2023,6,Jun,496,2.08,28.0
Electronic City,2023,7,Jul,506,2.08,28.0
Electronic City,2023,8,Aug,516,2.08,28.0
Electronic City,2023,9,Sep,526,2.08,28.0
Electronic City,2023,10,Oct,547,2.08,28.0
Electronic City,2023,11,Nov,569,2.08,28.0
Electronic City,2023,12,Dec,580,2.08,28.0
Electronic City,2024,1,Jan,592,2.08,28.0
Electronic City,2024,2,Feb,604,2.08,28.0
Electronic City,2024,3,Mar,616,2.08,28.0
Electronic City,2024,4,Apr,628,2.08,28.0
Electronic City,2024,5,May,641,2.08,28.0
Electronic City,2024,6,Jun,654,2.08,28.0
Electronic City,2024,7,Jul,667,2.08,28.0
Electronic City,2024,8,Aug,680,2.08,28.0
Electronic City,2024,9,Sep,694,2.08,28.0
Electronic City,2024,10,Oct,722,2.08,28.0
Electronic City,2024,11,Nov,751,2.08,28.0
Electronic City,2024,12,Dec,766,2.08,28.0
Electronic City,2025,1,Jan,781,2.08,28.0
Electronic City,2025,2,Feb,797,2.08,28.0
Electronic City,2025,3,Mar,813,2.08,28.0
Electronic City,2025,4,Apr,829,2.08,28.0
Electronic City,2025,5,May,846,2.08,28.0
Electronic City,2025,6,Jun,863,2.08,28.0
Electronic City,2025,7,Jul,880,2.08,28.0
Electronic City,2025,8,Aug,898,2.08,28.0
Electronic City,2025,9,Sep,916,2.08,28.0
Electronic City,2025,10,Oct,953,2.08,28.0
Electronic City,2025,11,Nov,992,2.08,28.0
Electronic City,2025,12,Dec,1012,2.08,28.0
Electronic City,2026,1,Jan,1033,2.08,28.0
Electronic City,2026,2,Feb,1054,2.08,28.0
Electronic City,2026,3,Mar,1075,2.08,28.0
Electronic City,2026,4,Apr,1097,2.08,28.0
Electronic City,2026,5,May,1119,2.08,28.0
Electronic City,2026,6,Jun,1142,2.08,28.0
Electronic City,2026,7,Jul,1165,2.08,28.0
Electronic City,2026,8,Aug,1189,2.08,28.0
Electronic City,2026,9,Sep,1213,2.08,28.0
Electronic City,2026,10,Oct,1262,2.08,28.0
Electronic City,2026,11,Nov,1313,2.08,28.0
Electronic City,2026,12,Dec,1340,2.08,28.0
Hebbal,2023,1,Jan,380,1.94,26.0
Hebbal,2023,2,Feb,387,1.94,26.0
Hebbal,2023,3,Mar,394,1.94,26.0
Hebbal,2023,4,Apr,401,1.94,26.0
Hebbal,2023,5,May,408,1.94,26.0
Hebbal,2023,6,Jun,415,1.94,26.0
Hebbal,2023,7,Jul,423,1.94,26.0
Hebbal,2023,8,Aug,431,1.94,26.0
Hebbal,2023,9,Sep,439,1.94,26.0
Hebbal,2023,10,Oct,456,1.94,26.0
Hebbal,2023,11,Nov,474,1.94,26.0
Hebbal,2023,12,Dec,483,1.94,26.0
Hebbal,2024,1,Jan,492,1.94,26.0
Hebbal,2024,2,Feb,501,1.94,26.0
Hebbal,2024,3,Mar,510,1.94,26.0
Hebbal,2024,4,Apr,519,1.94,26.0
Hebbal,2024,5,May,529,1.94,26.0
Hebbal,2024,6,Jun,539,1.94,26.0
Hebbal,2024,7,Jul,549,1.94,26.0
Hebbal,2024,8,Aug,559,1.94,26.0
Hebbal,2024,9,Sep,569,1.94,26.0
Hebbal,2024,10,Oct,591,1.94,26.0
Hebbal,2024,11,Nov,614,1.94,26.0
Hebbal,2024,12,Dec,625,1.94,26.0
Hebbal,2025,1,Jan,637,1.94,26.0
Hebbal,2025,2,Feb,649,1.94,26.0
Hebbal,2025,3,Mar,661,1.94,26.0
Hebbal,2025,4,Apr,673,1.94,26.0
Hebbal,2025,5,May,686,1.94,26.0
Hebbal,2025,6,Jun,699,1.94,26.0
Hebbal,2025,7,Jul,712,1.94,26.0
Hebbal,2025,8,Aug,725,1.94,26.0
Hebbal,2025,9,Sep,739,1.94,26.0
Hebbal,2025,10,Oct,768,1.94,26.0
Hebbal,2025,11,Nov,798,1.94,26.0
Hebbal,2025,12,Dec,813,1.94,26.0
Hebbal,2026,1,Jan,828,1.94,26.0
Hebbal,2026,2,Feb,844,1.94,26.0
Hebbal,2026,3,Mar,860,1.94,26.0
Hebbal,2026,4,Apr,876,1.94,26.0
Hebbal,2026,5,May,893,1.94,26.0
Hebbal,2026,6,Jun,910,1.94,26.0
Hebbal,2026,7,Jul,927,1.94,26.0
Hebbal,2026,8,Aug,945,1.94,26.0
Hebbal,2026,9,Sep,963,1.94,26.0
Hebbal,2026,10,Oct,1001,1.94,26.0
Hebbal,2026,11,Nov,1040,1.94,26.0
Hebbal,2026,12,Dec,1060,1.94,26.0
Indiranagar,2023,1,Jan,620,2.28,31.0
Indiranagar,2023,2,Feb,634,2.28,31.0
Indiranagar,2023,3,Mar,648,2.28,31.0
Indiranagar,2023,4,Apr,662,2.28,31.0
Indiranagar,2023,5,May,677,2.28,31.0
Indiranagar,2023,6,Jun,692,2.28,31.0
Indiranagar,2023,7,Jul,707,2.28,31.0
Indiranagar,2023,8,Aug,723,2.28,31.0
Indiranagar,2023,9,Sep,739,2.28,31.0
Indiranagar,2023,10,Oct,770,2.28,31.0
Indiranagar,2023,11,Nov,803,2.28,31.0
Indiranagar,2023,12,Dec,821,2.28,31.0
Indiranagar,2024,1,Jan,839,2.28,31.0
Indiranagar,2024,2,Feb,858,2.28,31.0
Indiranagar,2024,3,Mar,877,2.28,31.0
Indiranagar,2024,4,Apr,896,2.28,31.0
Indiranagar,2024,5,May,916,2.28,31.0
Indiranagar,2024,6,Jun,936,2.28,31.0
Indiranagar,2024,7,Jul,957,2.28,31.0
Indiranagar,2024,8,Aug,978,2.28,31.0
Indiranagar,2024,9,Sep,1000,2.28,31.0
Indiranagar,2024,10,Oct,1043,2.28,31.0
Indiranagar,2024,11,Nov,1088,2.28,31.0
Indiranagar,2024,12,Dec,1112,2.28,31.0
Indiranagar,2025,1,Jan,1137,2.28,31.0
Indiranagar,2025,2,Feb,1162,2.28,31.0
Indiranagar,2025,3,Mar,1188,2.28,31.0
Indiranagar,2025,4,Apr,1215,2.28,31.0
Indiranagar,2025,5,May,1242,2.28,31.0
Indiranagar,2025,6,Jun,1270,2.28,31.0
Indiranagar,2025,7,Jul,1298,2.28,31.0
Indiranagar,2025,8,Aug,1327,2.28,31.0
Indiranagar,2025,9,Sep,1357,2.28,31.0
Indiranagar,2025,10,Oct,1415,2.28,31.0
Indiranagar,2025,11,Nov,1476,2.28,31.0
Indiranagar,2025,12,Dec,1509,2.28,31.0
Indiranagar,2026,1,Jan,1543,2.28,31.0
Indiranagar,2026,2,Feb,1578,2.28,31.0
Indiranagar,2026,3,Mar,1613,2.28,31.0
Indiranagar,2026,4,Apr,1649,2.28,31.0
Indiranagar,2026,5,May,1686,2.28,31.0
Indiranagar,2026,6,Jun,1724,2.28,31.0
Indiranagar,2026,7,Jul,1763,2.28,31.0
Indiranagar,2026,8,Aug,1803,2.28,31.0
Indiranagar,2026,9,Sep,1844,2.28,31.0
Indiranagar,2026,10,Oct,1923,2.28,31.0
Indiranagar,2026,11,Nov,2006,2.28,31.0
Indiranagar,2026,12,Dec,2051,2.28,31.0
