zone,hour,time_label,ev_load_baseline_kw,ev_load_optimised_kw,grid_load_baseline_kw,grid_load_optimised_kw,utilization_baseline_pct,utilization_optimised_pct,action,load_shift_kw
HSR Layout,5,05:00,26.7,270.4,276.2,520.0,42.5,80.0,CHARGE NOW,-243.8
HSR Layout,6,06:00,153.6,0.0,751.5,597.9,115.6,92.0,MONITOR,153.6
HSR Layout,7,07:00,145.2,0.0,782.6,637.4,120.4,98.1,MONITOR,145.2
HSR Layout,8,08:00,162.2,0.0,827.1,664.8,127.2,102.3,MONITOR,162.2
HSR Layout,9,09:00,176.6,0.0,868.0,691.4,133.5,106.4,MONITOR,176.6
HSR Layout,10,10:00,26.8,0.0,397.6,370.8,61.2,57.1,MONITOR,26.8
HSR Layout,11,11:00,26.5,0.0,400.6,374.1,61.6,57.6,MONITOR,26.5
HSR Layout,12,12:00,25.3,0.0,400.5,375.2,61.6,57.7,MONITOR,25.3
HSR Layout,13,13:00,25.4,0.0,395.6,370.2,60.9,57.0,MONITOR,25.4
HSR Layout,14,14:00,24.0,0.0,375.1,351.2,57.7,54.0,MONITOR,24.0
HSR Layout,15,15:00,26.5,0.0,368.4,341.8,56.7,52.6,MONITOR,26.5
HSR Layout,16,16:00,25.6,0.0,378.8,353.2,58.3,54.3,MONITOR,25.6
HSR Layout,17,17:00,27.4,0.0,401.2,373.8,61.7,57.5,MONITOR,27.4
HSR Layout,18,18:00,683.4,0.0,2352.0,1668.6,361.8,256.7,DELAY,683.4
HSR Layout,19,19:00,769.9,0.0,2733.2,1963.4,420.5,302.1,DELAY,769.9
HSR Layout,20,20:00,709.6,0.0,2865.4,2155.8,440.8,331.7,DELAY,709.6
HSR Layout,21,21:00,698.7,0.0,2708.5,2009.8,416.7,309.2,DELAY,698.7
HSR Layout,22,22:00,703.3,0.0,2327.7,1624.4,358.1,249.9,DELAY,703.3
HSR Layout,23,23:00,99.8,0.0,796.1,696.3,122.5,107.1,CHARGE NOW,99.8
Hebbal,0,00:00,74.6,44.9,509.7,480.0,84.9,80.0,CHARGE NOW,29.7
Hebbal,1,01:00,69.6,43.1,506.4,480.0,84.4,80.0,CHARGE NOW,26.4
Hebbal,2,02:00,17.6,52.9,444.7,480.0,74.1,80.0,CHARGE NOW,-35.3
Hebbal,3,03:00,18.6,343.0,155.7,480.0,25.9,80.0,CHARGE NOW,-324.3
Hebbal,4,04:00,16.4,333.6,162.7,480.0,27.1,80.0,CHARGE NOW,-317.3
Hebbal,5,05:00,18.0,281.8,216.2,480.0,36.0,80.0,CHARGE NOW,-263.8
Hebbal,6,06:00,99.8,17.6,562.2,480.0,93.7,80.0,MONITOR,82.2
Hebbal,7,07:00,112.2,3.8,588.4,480.0,98.1,80.0,MONITOR,108.4
Hebbal,8,08:00,111.2,0.0,615.6,504.4,102.6,84.1,MONITOR,111.2
Hebbal,9,09:00,112.4,0.0,624.3,511.8,104.0,85.3,MONITOR,112.4
Hebbal,10,10:00,18.7,0.0,323.8,305.1,54.0,50.9,MONITOR,18.7
Hebbal,11,11:00,18.0,0.0,323.3,305.2,53.9,50.9,MONITOR,18.0
Hebbal,12,12:00,16.4,0.0,321.6,305.2,53.6,50.9,MONITOR,16.4
Hebbal,13,13:00,17.7,0.0,320.4,302.6,53.4,50.4,MONITOR,17.7
Hebbal,14,14:00,18.1,0.0,310.6,292.5,51.8,48.8,MONITOR,18.1
Hebbal,15,15:00,17.7,0.0,302.3,284.6,50.4,47.4,MONITOR,17.7
Hebbal,16,16:00,17.2,0.0,309.2,292.0,51.5,48.7,MONITOR,17.2
Hebbal,17,17:00,17.5,0.0,327.8,310.3,54.6,51.7,MONITOR,17.5
Hebbal,18,18:00,494.2,0.0,1670.4,1176.2,278.4,196.0,DELAY,494.2
Hebbal,19,19:00,460.0,0.0,1817.9,1357.9,303.0,226.3,DELAY,460.0
Hebbal,20,20:00,501.3,0.0,2036.1,1534.8,339.4,255.8,DELAY,501.3
Hebbal,21,21:00,498.3,0.0,1872.8,1374.4,312.1,229.1,DELAY,498.3
Hebbal,22,22:00,481.7,0.0,1544.5,1062.8,257.4,177.1,DELAY,481.7
Hebbal,23,23:00,71.6,0.0,578.0,506.4,96.3,84.4,CHARGE NOW,71.6
Indiranagar,0,00:00,114.8,0.0,763.4,648.6,101.8,86.5,CHARGE NOW,114.8
Indiranagar,1,01:00,106.8,0.0,742.9,636.1,99.1,84.8,CHARGE NOW,106.8
Indiranagar,2,02:00,27.9,0.0,658.1,630.2,87.7,84.0,CHARGE NOW,27.9
Indiranagar,3,03:00,29.9,428.0,201.9,600.0,26.9,80.0,CHARGE NOW,-398.1
Indiranagar,4,04:00,30.0,417.6,212.4,600.0,28.3,80.0,CHARGE NOW,-387.6
Indiranagar,5,05:00,28.0,349.4,278.6,600.0,37.1,80.0,CHARGE NOW,-321.4
Indiranagar,6,06:00,143.3,0.0,798.2,654.9,106.4,87.3,MONITOR,143.3
Indiranagar,7,07:00,175.7,0.0,849.5,673.8,113.3,89.8,MONITOR,175.7
Indiranagar,8,08:00,161.5,0.0,877.8,716.4,117.0,95.5,MONITOR,161.5
Indiranagar,9,09:00,157.5,0.0,873.6,716.0,116.5,95.5,MONITOR,157.5
Indiranagar,10,10:00,29.3,0.0,417.9,388.6,55.7,51.8,MONITOR,29.3
Indiranagar,11,11:00,25.6,0.0,425.2,399.5,56.7,53.3,MONITOR,25.6
Indiranagar,12,12:00,29.2,0.0,427.1,397.8,56.9,53.0,MONITOR,29.2
Indiranagar,13,13:00,29.5,0.0,415.6,386.1,55.4,51.5,MONITOR,29.5
Indiranagar,14,14:00,28.9,0.0,393.2,364.3,52.4,48.6,MONITOR,28.9
Indiranagar,15,15:00,28.5,0.0,386.2,357.6,51.5,47.7,MONITOR,28.5
Indiranagar,16,16:00,28.1,0.0,395.4,367.3,52.7,49.0,MONITOR,28.1
Indiranagar,17,17:00,27.5,0.0,430.5,403.0,57.4,53.7,MONITOR,27.5
Indiranagar,18,18:00,747.5,0.0,2615.1,1867.6,348.7,249.0,DELAY,747.5
Indiranagar,19,19:00,883.9,0.0,3163.1,2279.2,421.7,303.9,DELAY,883.9
Indiranagar,20,20:00,772.7,0.0,3238.0,2465.2,431.7,328.7,DELAY,772.7
Indiranagar,21,21:00,753.8,0.0,2873.7,2120.0,383.2,282.7,DELAY,753.8
Indiranagar,22,22:00,786.6,0.0,2512.6,1726.0,335.0,230.1,DELAY,786.6
Indiranagar,23,23:00,116.2,0.0,845.5,729.4,112.7,97.2,CHARGE NOW,116.2
Koramangala,0,00:00,147.8,0.0,1074.9,927.2,119.4,103.0,CHARGE NOW,147.8
Koramangala,1,01:00,140.3,0.0,1069.5,929.2,118.8,103.2,CHARGE NOW,140.3
Koramangala,2,02:00,38.2,0.0,966.4,928.2,107.4,103.1,CHARGE NOW,38.2
Koramangala,3,03:00,36.8,428.6,328.1,720.0,36.5,80.0,CHARGE NOW,-391.9
Koramangala,4,04:00,39.6,426.8,332.8,720.0,37.0,80.0,CHARGE NOW,-387.2
Koramangala,5,05:00,41.1,343.6,417.4,720.0,46.4,80.0,CHARGE NOW,-302.6
Koramangala,6,06:00,240.4,0.0,1168.5,928.1,129.8,103.1,MONITOR,240.4
Koramangala,7,07:00,236.6,0.0,1185.1,948.4,131.7,105.4,MONITOR,236.6
Koramangala,8,08:00,247.4,0.0,1240.3,992.9,137.8,110.3,MONITOR,247.4
Koramangala,9,09:00,220.2,0.0,1236.4,1016.2,137.4,112.9,MONITOR,220.2
Koramangala,10,10:00,37.5,0.0,578.9,541.4,64.3,60.2,MONITOR,37.5
Koramangala,11,11:00,38.9,0.0,582.2,543.3,64.7,60.4,MONITOR,38.9
Koramangala,12,12:00,37.8,0.0,581.5,543.7,64.6,60.4,MONITOR,37.8
Koramangala,13,13:00,38.9,0.0,572.4,533.5,63.6,59.3,MONITOR,38.9
Koramangala,14,14:00,37.9,0.0,545.8,507.9,60.6,56.4,MONITOR,37.9
Koramangala,15,15:00,38.1,0.0,544.0,505.9,60.4,56.2,MONITOR,38.1
Koramangala,16,16:00,37.8,0.0,555.3,517.6,61.7,57.5,MONITOR,37.8
Koramangala,17,17:00,40.0,0.0,583.9,543.8,64.9,60.4,MONITOR,40.0
Koramangala,18,18:00,1070.5,0.0,3582.3,2511.8,398.0,279.1,DELAY,1070.5
Koramangala,19,19:00,1009.8,0.0,4094.4,3084.6,454.9,342.7,DELAY,1009.8
Koramangala,20,20:00,1074.0,0.0,4332.8,3258.8,481.4,362.1,DELAY,1074.0
Koramangala,21,21:00,1047.7,0.0,3982.0,2934.3,442.4,326.0,DELAY,1047.7
Koramangala,22,22:00,1158.6,0.0,3553.4,2394.8,394.8,266.1,DELAY,1158.6
Koramangala,23,23:00,157.2,0.0,1210.0,1052.8,134.4,117.0,CHARGE NOW,157.2
Whitefield,0,00:00,182.9,0.0,1087.0,904.2,98.8,82.2,CHARGE NOW,182.9
Whitefield,1,01:00,195.3,0.0,1106.5,911.2,100.6,82.8,CHARGE NOW,195.3
Whitefield,2,02:00,47.0,0.0,941.8,894.8,85.6,81.3,CHARGE NOW,47.0
Whitefield,3,03:00,42.9,558.8,364.1,880.0,33.1,80.0,CHARGE NOW,-515.9
Whitefield,4,04:00,49.9,537.7,392.2,880.0,35.7,80.0,CHARGE NOW,-487.8
Whitefield,5,05:00,50.2,435.4,494.8,880.0,45.0,80.0,CHARGE NOW,-385.2
Whitefield,6,06:00,280.5,0.0,1233.5,953.0,112.1,86.6,MONITOR,280.5
Whitefield,7,07:00,282.9,0.0,1287.9,1005.0,117.1,91.4,MONITOR,282.9
Whitefield,8,08:00,278.1,0.0,1347.4,1069.2,122.5,97.2,MONITOR,278.1
Whitefield,9,09:00,291.0,0.0,1382.8,1091.8,125.7,99.3,MONITOR,291.0
Whitefield,10,10:00,46.2,0.0,724.3,678.1,65.8,61.6,MONITOR,46.2
Whitefield,11,11:00,49.6,0.0,721.4,671.8,65.6,61.1,MONITOR,49.6
Whitefield,12,12:00,47.3,0.0,716.0,668.8,65.1,60.8,MONITOR,47.3
Whitefield,13,13:00,44.5,0.0,714.0,669.5,64.9,60.9,MONITOR,44.5
Whitefield,14,14:00,49.2,0.0,670.4,621.2,60.9,56.5,MONITOR,49.2
Whitefield,15,15:00,48.7,0.0,658.2,609.5,59.8,55.4,MONITOR,48.7
Whitefield,16,16:00,43.2,0.0,662.7,619.5,60.2,56.3,MONITOR,43.2
Whitefield,17,17:00,48.0,0.0,720.2,672.2,65.5,61.1,MONITOR,48.0
Whitefield,18,18:00,1370.2,0.0,3689.7,2319.6,335.4,210.9,DELAY,1370.2
Whitefield,19,19:00,1326.6,0.0,4228.0,2901.4,384.4,263.8,DELAY,1326.6
Whitefield,20,20:00,1300.8,0.0,4433.9,3133.1,403.1,284.8,DELAY,1300.8
Whitefield,21,21:00,1414.7,0.0,4103.3,2688.6,373.0,244.4,DELAY,1414.7
Whitefield,22,22:00,1288.7,0.0,3466.4,2177.7,315.1,198.0,DELAY,1288.7
Whitefield,23,23:00,207.0,0.0,1299.0,1092.0,118.1,99.3,CHARGE NOW,207.0
